SCHOOL_ID,DATUM,INSTELLINGSNAAM_VESTIGING,POSTCODE_VESTIGING,PLAATSNAAM,GEMEENTENUMMER,GEMEENTENAAM,PROVINCIE,SOORT_PO,DENOMINATIE_VESTIGING,BEVOEGD_GEZAG_NUMMER,EXAMEN,EXAMEN_AANTAL,EXAMEN_GEM
019NT_2017,2017,De Drentse Hoek,2545SL,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,27,535.296296296296
019NV_2017,2017,De Triangel,7545BV,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,83,535.21686746988
019NW_2017,2017,Van Ostadeschool,2526EV,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,48,534.020833333333
019NX_2017,2017,Jan Ligthartsch,6821CJ,ARNHEM,202,Arnhem,Gelderland,Bo,Openbaar,41645,CET,41,539.219512195122
019NZ_2017,2017,Erasmussch,2542ED,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,39,529.410256410256
019OB_2017,2017,Godfried Bomans-School,7542LX,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CET,21,535.190476190476
019OC_2017,2017,Pr Willem Alexandersch,2521SG,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,35,533.171428571429
019OE_2017,2017,De Boomhut,6824LE,ARNHEM,202,Arnhem,Gelderland,Bo,Openbaar,41645,CET,47,535.340425531915
019OF_2017,2017,Weth AF v/d Heijdenschool,7546EA,ENSCHEDE,153,Enschede,Overijssel,Bo,Rooms-Katholiek,58761,CESAN,18,154.888888888889
019OM_2017,2017,De Witte School,6824RC,ARNHEM,202,Arnhem,Gelderland,Bo,Openbaar,41645,CET,10,533.3
019OQ_2017,2017,De Springbok,2571VD,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,49,531.775510204082
019OR_2017,2017,De Werf,6826HA,ARNHEM,202,Arnhem,Gelderland,Bo,Openbaar,41645,CET,39,533.1282051282051
019OY_2017,2017,Dr W Dreessch,6825JA,ARNHEM,202,Arnhem,Gelderland,Bo,Openbaar,41645,CET,19,527.684210526316
019QB_2017,2017,SSBO Petra,5631KN,EINDHOVEN,772,Eindhoven,Noord-Brabant,Sbo,Protestants-Christelijk,40378,CET,15,514.0
019QD_2017,2017,De Kleine Wereld,2531VP,'S-GRAVENHAGE,518,'s-Gravenhage,Zuid-Holland,Bo,Openbaar,41572,CET,25,528.28
